Ticker,Sector,Sector Bin
LTM,Transportation,Other
RRTS,Transportation,Other
SAVE,Transportation,Other
SB,Transportation,Other
STNG,Transportation,Other
CAP,Transportation,Other
TEU,Transportation,Other
BWTR,Utilities,Other
CPX,Utilities,Other
OPTT,Utilities,Other
ITC,Utilities,Other
AWK,Public Utilities,Other
DCP,Public Utilities,Other
FN,Public Utilities,Other
ORA,Public Utilities,Other
VG,Public Utilities,Other
